Title,Link
Adobe.Acrobat.CVE-2024-39425.Race.Condition,/encyclopedia/ips/56586
Adobe.Acrobat.CVE-2024-39420.Race.Condition,/encyclopedia/ips/56577
Adobe.ColdFusion.CVE-2024-41874.Insecure.Deserialization,/encyclopedia/ips/56579
MS.Windows.CVE-2024-38237.Privilege.Elevation,/encyclopedia/ips/56534
MS.Windows.Driver.CVE-2024-38238.Privilege.Elevation,/encyclopedia/ips/56536
MS.Windows.Driver.CVE-2024-38241.Privilege.Elevation,/encyclopedia/ips/56532
MS.Windows.Driver.CVE-2024-38242.Privilege.Elevation,/encyclopedia/ips/56535
MS.Windows.Driver.CVE-2024-38243.Privilege.Elevation,/encyclopedia/ips/56533
MS.Windows.Driver.CVE-2024-38244.Privilege.Elevation,/encyclopedia/ips/56537
MS.Windows.Driver.CVE-2024-38245.Privilege.Elevation,/encyclopedia/ips/56538
Severalnines.ClusterControl.CMON.API.Path.Traversal,/encyclopedia/ips/56574
Google.Chrome.V8.CVE-2024-1939.Type.Confusion,/encyclopedia/ips/56557
Tananaev.Solutions.Traccar.devices.Arbitrary.File.Upload,/encyclopedia/ips/56559
VMware.Spring.Cloud.Data.Flow.Skipper.Arbitrary.File.Upload,/encyclopedia/ips/56555
AVTECH.AVM1203.Factory.cgi.Command.Injection,/encyclopedia/ips/56551
Bazarr.swaggerui.Path.Traversal,/encyclopedia/ips/56552
NETGEAR.ProSAFE.NMS.CVE-2024-5246.Remote.Code.Execution,/encyclopedia/ips/56545
Rockwell.Automation.ControlLogix.CVE-2024-6242.Code.Execution,/encyclopedia/ips/56507
PerkinElmer.ProcessPlus.Software.Download.Path.Traversal,/encyclopedia/ips/56523
QNAP.QTS.CVE-2023-39296.JSON.Parsing.Remote.Code.Execution,/encyclopedia/ips/56530
Google.Chrome.V8.BuildElementAccess.Type.Confusion,/encyclopedia/ips/56519
Google.Chrome.V8.ConstructNewMap.Memory.Corruption,/encyclopedia/ips/56521
TOTOLINK.A3700R.UploadCustomModule.Buffer.Overflow,/encyclopedia/ips/56420
TOTOLINK.A7000R.loginAuth.Buffer.Overflow,/encyclopedia/ips/56424
TOTOLINK.Devices.getSaveConfig.Buffer.Overflow,/encyclopedia/ips/56423
TOTOLINK.Devices.setParentalRules.Buffer.Overflow,/encyclopedia/ips/56428
Vodafone.H-500-S.Activation.Information.Disclosure,/encyclopedia/ips/56433
Zen.Cart.findPluginAdminPage.Local.File.Inclusion,/encyclopedia/ips/56525
Zyxel.VPN.Series.Devices.CVE-2023-33012.Command.Injection,/encyclopedia/ips/56516
Koi.Botnet,/encyclopedia/ips/56461
Softaculous.Webuzo.FTP.Management.Command.Injection,/encyclopedia/ips/56513
Softaculous.Webuzo.Password.Reset.Command.Injection,/encyclopedia/ips/56512
Foscam.R4M.UDTMediaServer.Buffer.Overflow,/encyclopedia/ips/56495
Swissphone.DiCal-RED.4009.fdmcgiwebv2.cgi.Authentication.Bypass,/encyclopedia/ips/56504
Swissphone.DiCal-RED.4009.fdmcgiwebv2.cgi.Path.Traversal,/encyclopedia/ips/56503
TP-Link.ViGi.onvif_discovery.Buffer.Overflow,/encyclopedia/ips/56501
Apache.Wicket.XSLTResourceStream.Remote.Code.Execution,/encyclopedia/ips/56490
TOTOLINK.A3600R.loginAuth.Buffer.Overflow,/encyclopedia/ips/56416
TVT.NVMS-9000.Information.Disclosure,/encyclopedia/ips/56488
SonicWall.SMA100.eventlog.Stored.XSS,/encyclopedia/ips/56481
SonicWall.SMA100.sitecustomization.Command.Injection,/encyclopedia/ips/56482
HSC.Mailinspector.loader.Path.Traversal,/encyclopedia/ips/56476
Pi-Hole.DownloadBlocklistFromUrl.SSRF,/encyclopedia/ips/56477
Calibre.cmd_list.template.Remote.Code.Execution,/encyclopedia/ips/56463
Beward.N100.param.CSRF,/encyclopedia/ips/56451
TOTOLINK.A3600R.setIpQosRules.Buffer.Overflow,/encyclopedia/ips/56415
